publish,vacc_mention,size,adj_vacc,period
2020.08.15.,99,1485,0.06666666666666667,period_2
2020.08.16.,2,1386,0.001443001443001443,period_2
2020.08.17.,1,1881,0.000531632110579479,period_2
2020.08.19.,1,990,0.00101010101010101,period_2
2020.08.25.,688,1485,0.4632996632996633,period_2
2020.08.30.,297,2079,0.14285714285714285,period_2
2020.12.15.,592,1782,0.33221099887766553,period_3
2020.12.16.,99,1089,0.09090909090909091,period_3
2020.12.17.,297,1584,0.1875,period_3
2020.12.18.,395,1782,0.22166105499438832,period_3
2020.12.19.,3,1782,0.0016835016835016834,period_3
2020.12.20.,102,1980,0.051515151515151514,period_3
2020.12.21.,399,1881,0.21212121212121213,period_3
2020.12.22.,594,1683,0.35294117647058826,period_3
2020.12.23.,200,1683,0.11883541295306001,period_3
2020.12.24.,689,2079,0.33140933140933143,period_3
2020.12.25.,396,2178,0.18181818181818182,period_3
2020.12.27.,395,1980,0.1994949494949495,period_3
2020.12.28.,101,1386,0.07287157287157287,period_3
2020.12.29.,98,1386,0.0707070707070707,period_3
2020.12.30.,197,792,0.24873737373737373,period_3
2020.12.31.,588,1386,0.42424242424242425,period_3
2021.01.01.,688,2673,0.25738870183314627,period_3
2021.01.02.,301,2376,0.12668350168350168,period_3
2021.01.03.,1,1188,0.0008417508417508417,period_3
2021.01.04.,886,1683,0.5264408793820559,period_3
2021.01.05.,2,2178,0.0009182736455463728,period_3
2021.01.06.,301,2079,0.1447811447811448,period_3
2021.01.07.,2,1188,0.0016835016835016834,period_3
2021.01.08.,5,1188,0.004208754208754209,period_3
2021.01.09.,101,1881,0.05369484316852738,period_3
2021.01.10.,1,1980,0.000505050505050505,period_3
